timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
239724000,239724000,0.008125643,-0.0068440447,-0.0013899562,0.09921305,-0.20579948,0.0016707304
239736000,239736000,0.009357639,-0.009537053,-0.0013789497,0.102888756,-0.15955076,0.00087540457
239744000,239744000,0.010315779,-0.007016413,-0.0013730301,0.11492525,0.16504334,0.00079381175
239756000,239756000,0.011634574,-0.006212088,-0.0013510868,0.10783018,0.05482708,0.0020869856
239764000,239764000,0.012412559,-0.008147525,-0.0013094248,0.10076575,-0.16019821,0.0042026653
239776000,239776000,0.01341473,-0.010683788,-0.0012721387,0.08461568,-0.14154953,0.003097654
239784000,239784000,0.014046454,-0.007934085,-0.0012479068,0.081180274,0.19096817,0.0030246198
239796000,239796000,0.014973429,-0.00685127,-0.0012221304,0.07621416,0.07632115,0.0023510037
239804000,239804000,0.015400064,-0.008893975,-0.0011966932,0.059677884,-0.16441825,0.0029707565
239816000,239816000,0.015768228,-0.011747251,-0.0011516274,0.034099784,-0.16040914,0.0035042556
239824000,239824000,0.015859557,-0.009136093,-0.0011328959,0.017907891,0.17275335,0.002661682
239836000,239836000,0.01572949,-0.00828739,-0.0010937423,-0.0068014353,0.0568128,0.0034052553
239844000,239844000,0.015649578,-0.010519417,-0.0010620859,-0.00874108,-0.18670377,0.0037505927
239856000,239856000,0.015180242,-0.013654728,-0.001003946,-0.040194772,-0.18488961,0.004685217
239864000,239864000,0.014607141,-0.011244726,-0.00096861174,-0.061227202,0.14802065,0.0044649844
239876000,239876000,0.013694233,-0.010645964,-0.0009202327,-0.07471577,0.036370464,0.0040890565
239884000,239884000,0.012993595,-0.012845857,-0.00089520856,-0.08362238,-0.18894602,0.003454616
239896000,239896000,0.012086145,-0.01561633,-0.0008398408,-0.075636365,-0.16004449,0.0045156726
239904000,239904000,0.011482028,-0.012862049,-0.0008067707,-0.07719517,0.18380378,0.0043603517
239916000,239916000,0.010374848,-0.0113857,-0.00074757077,-0.08962517,0.10533357,0.0050017666
239924000,239924000,0.0097618885,-0.01238485,-0.00070710044,-0.079543635,-0.058009297,0.0049441243
239936000,239936000,0.00950647,-0.013255971,-0.0006703659,-0.022745742,-0.037644982,0.0036417197
239944000,239944000,0.009980501,-0.013970878,-0.00061926804,0.034958422,-0.09219009,0.005522587
239956000,239956000,0.011185364,-0.01949614,-0.0005694222,0.090498954,-0.39815325,0.0041744886
239964000,239964000,0.011995376,-0.023613766,-0.0005380568,0.09707177,-0.48154086,0.0040970254
239976000,239976000,0.013081623,-0.026482956,-0.00049553264,0.092983834,-0.20069748,0.003279168
239984000,239984000,0.01404311,-0.022998162,-0.0004777325,0.11254737,0.23484951,0.0025510276
239996000,239996000,0.015557006,-0.02093258,-0.0004432092,0.12339618,0.14742875,0.002902128
240004000,240004000,0.016669594,-0.02261191,-0.0004256725,0.13483202,-0.111839905,0.0023671268
240016000,240016000,0.018287027,-0.02521203,-0.00038110872,0.13128407,-0.13658884,0.0037319455
240024000,240024000,0.019118566,-0.022572277,-0.0003435589,0.111987226,0.18288411,0.004424108
240036000,240036000,0.02028183,-0.021542719,-0.0002791732,0.09937127,0.073073424,0.0051607806
240044000,240044000,0.020954648,-0.023360262,-0.00024084168,0.08817684,-0.14396918,0.004886223
240056000,240056000,0.021986827,-0.025117628,-0.00018193286,0.089548185,-0.076766506,0.0050531803
240064000,240064000,0.022883615,-0.021364605,-0.00015192214,0.10564758,0.29831052,0.004032738
240076000,240076000,0.024282282,-0.0182939,-0.000112624184,0.113170154,0.23393103,0.003328746
240084000,240084000,0.025031831,-0.018836746,-9.103577e-05,0.09870641,0.014393374,0.0029774068
240096000,240096000,0.026082922,-0.01942422,-3.829787e-05,0.0921337,0.024483852,0.0042996733
240104000,240104000,0.026856646,-0.01532234,-9.015916e-06,0.094623774,0.35893857,0.0038054998
240116000,240116000,0.027798628,-0.012146778,4.4712477e-05,0.08043452,0.25005576,0.0043689767
240124000,240124000,0.028296104,-0.012721595,8.132987e-05,0.067087546,0.01671809,0.004636106
240136000,240136000,0.028789727,-0.013377048,0.0001644804,0.044463977,0.019682497,0.0063592084
240144000,240144000,0.02913593,-0.009369644,0.00020129741,0.04400613,0.34940487,0.0051124673
240156000,240156000,0.02968523,-0.006318342,0.00026222924,0.04517526,0.2396452,0.0052068224
240164000,240164000,0.029859463,-0.00689948,0.00030966685,0.027737826,0.013665348,0.0057143937
240176000,240176000,0.02975897,-0.007630506,0.0003795289,-0.0031797416,0.011096172,0.005594549
240180000,240180000,0.029738259,-0.00582573,0.000398389,-0.0040385965,0.20028052,0.0052164723
240196000,240196000,0.029771695,-0.00220317,0.0004845289,0.0011850893,0.11286239,0.0055142343
240204000,240204000,0.029688237,-0.0052891695,0.0005359333,-0.007502813,-0.23924321,0.0061348216
240212000,240212000,0.029472591,-0.008295161,0.0005940225,-0.021482643,-0.3137107,0.006915173
240224000,240224000,0.028944014,-0.004032876,0.00067425874,-0.0404188,0.29898596,0.006909299
240236000,240236000,0.02837669,0.0019958061,0.00076284603,-0.045791686,0.44773918,0.007108552
240244000,240244000,0.028046472,0.0029599161,0.0008223949,-0.04274821,0.20429237,0.007411102
240256000,240256000,0.02734528,0.0021652682,0.00092135376,-0.058780596,0.010353597,0.008114765
240264000,240264000,0.026739242,0.0018045055,0.0009927893,-0.07015399,-0.042995367,0.008669709
240276000,240276000,0.025814665,-0.0020121732,0.001098775,-0.076812044,-0.26152435,0.008899638
240284000,240284000,0.025144914,-0.0041705626,0.0011696648,-0.08171796,-0.2684903,0.008799713
240296000,240296000,0.023904009,-0.0037223834,0.0012696146,-0.10175057,0.06176564,0.008583992
240304000,240304000,0.023071539,0.001507459,0.0013309531,-0.10269354,0.46386266,0.007799026
240316000,240316000,0.021980634,0.0050112004,0.0014062577,-0.092213094,0.27626228,0.0068346304
240324000,240324000,0.021295598,0.0036449952,0.0014721409,-0.08737549,-0.04568498,0.007767011
240336000,240336000,0.020420311,0.00075449754,0.0015406372,-0.07426283,-0.15143785,0.005697614
240344000,240344000,0.019993715,0.0027577006,0.0015835391,-0.059178155,0.12202545,0.0055164024
240356000,240356000,0.019644868,0.0022655663,0.0016464929,-0.032248527,-0.04302603,0.005325686
240364000,240364000,0.019475708,-0.00033482505,0.001695533,-0.02501719,-0.24558064,0.0059038657
240376000,240376000,0.01914639,-0.0015984892,0.0017474205,-0.026495505,-0.04203394,0.0042153727
240384000,240384000,0.01900284,0.0023902706,0.001772417,-0.020238899,0.32193387,0.0035301272
240396000,240396000,0.018892305,0.0034022129,0.0018186108,-0.0118911015,0.07993162,0.0038381026
240404000,240404000,0.018767873,0.00055795145,0.0018505189,-0.014155152,-0.23227803,0.0039180033
240416000,240416000,0.018688822,-0.0039284914,0.0018862127,-0.0073546437,-0.28978398,0.0029784185
240424000,240424000,0.0186185,-0.0025029343,0.0018977812,-0.008647088,0.031949803,0.0018672551
240436000,240436000,0.018350534,-0.003170574,0.0019186586,-0.020725617,-0.070852876,0.002080977
240444000,240444000,0.018245293,-0.0061183814,0.0019452195,-0.014835436,-0.28652537,0.0028842273
240456000,240456000,0.018115848,-0.010786696,0.0019743463,-0.012825297,-0.32693744,0.0025842893
240464000,240464000,0.01803403,-0.012621506,0.002000634,-0.0104694525,-0.2725431,0.0030700339
240476000,240476000,0.018124508,-0.01805262,0.0020387236,0.005973345,-0.41634688,0.0031365023
240484000,240484000,0.018254371,-0.021723269,0.0020639165,0.012889123,-0.4487813,0.0031449047
240496000,240496000,0.018348973,-0.023825735,0.0021005247,0.0073914025,-0.14336182,0.0030496358
240504000,240504000,0.018371072,-0.019987745,0.0021226974,0.004489424,0.28247994,0.0028318572
240516000,240516000,0.01845418,-0.017344577,0.0021501041,0.0064912257,0.19730929,0.0024778198
240524000,240524000,0.018530933,-0.018324275,0.0021748736,0.008719893,-0.03450626,0.0029036575
240536000,240536000,0.018586766,-0.020064883,0.0022063293,0.0039541703,-0.07097207,0.0025277874
240544000,240544000,0.018513223,-0.017169122,0.0022294496,-0.005252727,0.22555126,0.0028477851
240556000,240556000,0.018255567,-0.015701009,0.0022577995,-0.02121979,0.111015566,0.0021902975
240564000,240564000,0.01783313,-0.017345635,0.0022633534,-0.043695662,-0.11833839,0.0012123268
240572000,240572000,0.017188922,-0.01953571,0.0022887914,-0.070271954,-0.21069269,0.0026510758
240584000,240584000,0.015698459,-0.015492792,0.0023133927,-0.11838812,0.28635195,0.0020547055
240596000,240596000,0.01382698,-0.012946527,0.0023558137,-0.15075958,0.1943782,0.0034150458
240604000,240604000,0.012483189,-0.01387161,0.0023895425,-0.1627573,-0.030387312,0.0038976532
240616000,240616000,0.010334335,-0.014593331,0.0024255582,-0.1773777,0.013045736,0.0033182865
240624000,240624000,0.008810705,-0.010270665,0.002459096,-0.18611395,0.374578,0.003843444
240636000,240636000,0.0067129624,-0.0067968345,0.0024777057,-0.17551908,0.27030444,0.0016593783
